taskId,sourceSheet,sourceRow,section,kpacId,title,function,stage,marker,requiredType,taskDescription,documentOrEvidence,responsible,remarks,expandedByAllGatesRule,uiStage,originalStage
GPM_GR-16-PKO-12,Gate Checklist-更新版,8,,GPM_GR-16,"Program Award (LOI, PO)",Customer,PKO,X,required,Sales to organize commercial kick off and provide official contractual documents.,LOI / NL,Customer,,False,PKO,PKO
GPM_GR-16-Gate1-13,Gate Checklist-更新版,8,,GPM_GR-16,"Program Award (LOI, PO)",Customer,Gate 1,X,required,Share any updates (if applicable) with launch team,LOI / NL,Customer,,False,Gate1,Gate 1
GPM_GR-17-Gate2-14,Gate Checklist-更新版,9,,GPM_GR-17,Obtain Prototype PO,Customer,Gate 2,X,required,Get PO,Customer PO,,,False,Gate2,Gate 2
GPM_GR-17-Gate3-15,Gate Checklist-更新版,9,,GPM_GR-17,Obtain Prototype PO,Customer,Gate 3,X,required,Check that we obtained prototype orders,Customer PO,,,False,Gate3,Gate 3
GPM_GR-18-Gate2-16,Gate Checklist-更新版,10,,GPM_GR-18,Obtain Tool and PPAP orders,Customer,Gate 2,X,required,Check that we obtained Tool and PPAP orders,Customer PO,,,False,Gate2,Gate 2
GPM_GR-18-Gate3-17,Gate Checklist-更新版,10,,GPM_GR-18,Obtain Tool and PPAP orders,Customer,Gate 3,X,required,Verify that PO for PPAP are available or planned in time (if applicable),Customer PO,,,False,Gate3,Gate 3
GPM_GR-18-Gate4-18,Gate Checklist-更新版,10,,GPM_GR-18,Obtain Tool and PPAP orders,Customer,Gate 4,X,required,Verify that PO’s have been received from customer,Customer PO,,,False,Gate4,Gate 4
GPM_GR-125-Gate0-19,Gate Checklist-更新版,11,,GPM_GR-125,Pre-RFQ activities,Customer,Gate 0,X,required,"To agree and sign NDA with customer before the start of information exchange (if requested)
Verify possible new customer GT&C and engage legal office when necessary",,Sales,,False,CKO,Gate 0
GPM_GR-126-Gate4-20,Gate Checklist-更新版,12,,GPM_GR-126,Service parts RFQ/PO,Customer,Gate 4,X,required,to get RFQ from customer for service parts (if applicable) and organize internal RFQ.,Customer RFQ/PO,Sales,,False,Gate4,Gate 4
GPM_GR-126-Gate5-21,Gate Checklist-更新版,12,,GPM_GR-126,Service parts RFQ/PO,Customer,Gate 5,X,required,to get PO for service parts (if applicable),Customer RFQ/PO,Sales,,False,Gate5,Gate 5
GPM_GR-164-Gate4-22,Gate Checklist-更新版,13,,GPM_GR-164,Customer Recoveries,Customer,Gate 4,X,required,"Identify any customer recoveries that need to be negotiated, like Inflationary Impact, change on volumes, raw material changes, etc.",Customer PO / Agreement,Sales,,False,Gate4,Gate 4
GPM_GR-164-Gate5-23,Gate Checklist-更新版,13,,GPM_GR-164,Customer Recoveries,Customer,Gate 5,X,required,Obtain an Agreement from the customer for any Impact compensation.,Customer PO / Agreement,Sales,,False,Gate5,Gate 5
GPM_GR-164-Gate6-24,Gate Checklist-更新版,13,,GPM_GR-164,Customer Recoveries,Customer,Gate 6,X,required,"Check that financial Impacts are compensated by the customer, if we have a retro payment agreement with the customer",Customer PO / Agreement,Sales,,False,Gate6,Gate 6
GPM_GR-1-Gate0-25,Gate Checklist-更新版,15,Plan and Define-----PM,GPM_GR-1,Gate0 Financial Model (RSM),Plan and Define,Gate 0,X,required,,Gate 0 RSM,Finance,,False,CKO,Gate 0
GPM_GR-2-Gate0-26,Gate Checklist-更新版,16,Plan and Define-----PM,GPM_GR-2,Gate 0 MLT Approval,Plan and Define,Gate 0,X,required,Check the approved Gate0 program assumptions and keep them as a reference for the PKO and AR prepration,Gate 0 Form,MLT,,False,CKO,Gate 0
GPM_GR-2-PKO-28,Gate Checklist-更新版,16,Plan and Define-----PM,GPM_GR-2,Gate 0 MLT Approval,Plan and Define,PKO,X,required,Check the approved Gate0 program assumptions and keep them as a reference for the PKO and AR prepration,Gate 0 Form,MLT,,False,PKO,PKO
GPM_GR-4-CKO-29,Gate Checklist-更新版,17,Plan and Define-----PM,GPM_GR-4,Program Kick Off Meeting,Plan and Define,CKO,X,required,Hold the corresponding Program Kick Off event following the guidelines of MP-PM-001. Use and update when necessary the program assumptions reported at the Program Kick Off meeting,MP-PM-001,PM,,False,CKO,CKO
GPM_GR-4-PKO-30,Gate Checklist-更新版,17,Plan and Define-----PM,GPM_GR-4,Program Kick Off Meeting,Plan and Define,PKO,X,required,Hold the corresponding Program Kick Off event following the guidelines of MP-PM-001. Use and update when necessary the program assumptions reported at the Program Kick Off meeting,MP-PM-001,PM,,False,PKO,PKO
GPM_GR-10-CKO-31,Gate Checklist-更新版,18,Plan and Define-----PM,GPM_GR-10,Prototype Builds Plan,Plan and Define,CKO,X,required,"Develop a plan for prototype builds that will be produced at the manufacturing plant (partially or complete)  Include all the requirements, supplier strategy, manufacturing strategy, and the inspections/tests responsibilities. Check with Quality the appropriate Control Plan is available and controls are in place.",Timing Plan,PM,,False,CKO,CKO
GPM_GR-10-PKO-32,Gate Checklist-更新版,18,Plan and Define-----PM,GPM_GR-10,Prototype Builds Plan,Plan and Define,PKO,X,required,"Develop a plan for prototype builds that will be produced at the manufacturing plant (partially or complete)  Include all the requirements, supplier strategy, manufacturing strategy, and the inspections/tests responsibilities. Check with Quality the appropriate Control Plan is available and controls are in place.",Timing Plan,PM,,False,PKO,PKO
GPM_GR-10-Gate1-33,Gate Checklist-更新版,18,Plan and Define-----PM,GPM_GR-10,Prototype Builds Plan,Plan and Define,Gate 1,X,required,"Develop a plan for prototype builds that will be produced at the manufacturing plant (partially or complete)  Include all the requirements, supplier strategy, manufacturing strategy, and the inspections/tests responsibilities. Check with Quality the appropriate Control Plan is available and controls are in place.",Timing Plan,PM,,False,Gate1,Gate 1
GPM_GR-162-PKO-34,Gate Checklist-更新版,19,Plan and Define-----PM,GPM_GR-162,Evaluate Risk of pre-spend,Plan and Define,PKO,√,optional,"If prespend is needed, evaluate if there is a risk to have R3 drawings, machine specifications, quotes, SoBo, or any other input needed to kick off tooling/equipment on time.","MP-PM-005 Attachment F, Risk Register",PM,,False,PKO,PKO
GPM_GR-162-Gate1-35,Gate Checklist-更新版,19,Plan and Define-----PM,GPM_GR-162,Evaluate Risk of pre-spend,Plan and Define,Gate 1,X,required,"If prespend is needed, evaluate if there is a risk to have R3 drawings, machine specifications, quotes, SoBo, or any other input needed to kick off tooling/equipment on time.","MP-PM-005 Attachment F, Risk Register",PM,,False,Gate1,Gate 1
GPM_GR-6-Gate2-36,Gate Checklist-更新版,20,Plan and Define-----PM,GPM_GR-6,AR Package,Plan and Define,Gate 2,X,required,"Assure that the AR package including signed Yellow Sheet is stored and available in PM SharePoint in the appropriate folder, cleaned up from any obsolete document
Add the link to the SharePoint folder as evidence",MP-PM-005 Link to Folder in SharePoint,PM,,False,Gate2,Gate 2
GPM_GR-7-Gate2-37,Gate Checklist-更新版,21,Plan and Define-----PM,GPM_GR-7,Review OTS Plans,Plan and Define,Gate 2,X,required,"Re-check timing plan for the OTS build, getting updated info from Manufacturing Eng and Supply Chain on tooling leadtime and confirm customer OTS timing - Verify bottleneck and set monitoring plan",Timing Plan,PM,,False,Gate2,Gate 2
GPM_GR-7-Gate3-38,Gate Checklist-更新版,21,Plan and Define-----PM,GPM_GR-7,Review OTS Plans,Plan and Define,Gate 3,X,required,Verify that all the activities planned for the OTS builds have been executed,Timing Plan,PM,,False,Gate3,Gate 3
NO_ID-Gate2-39,Gate Checklist-更新版,22,Plan and Define-----PM,,Review PPAP Plans,Plan and Define,Gate 2,√,optional,"Re-check timing plan for the PPAP build, getting updated info from M.Eng. and Supply Chain on tooling / equip. lead time, confirm customer PPAP timing–Verify bottleneck and set monitoring plan.",Timing Plan,PM,,False,Gate2,Gate 2
NO_ID-Gate3-40,Gate Checklist-更新版,22,Plan and Define-----PM,,Review PPAP Plans,Plan and Define,Gate 3,X,required,"Re-check lead-times for PPAP, verify and update when necessary the timing plan.",Timing Plan,PM,,False,Gate3,Gate 3
NO_ID-Gate4-41,Gate Checklist-更新版,22,Plan and Define-----PM,,Review PPAP Plans,Plan and Define,Gate 4,X,required,Verify that all the activities planned for the PPAP builds have been executed,Timing Plan,PM,,False,Gate4,Gate 4
NO_ID-Gate2-42,Gate Checklist-更新版,23,Plan and Define-----PM,,Review SOP Plans,Plan and Define,Gate 2,√,optional,"Verify customer SOP timing and any specific activity required for SOP, schedule Gate 5",Timing Plan,PM,,False,Gate2,Gate 2
NO_ID-Gate3-43,Gate Checklist-更新版,23,Plan and Define-----PM,,Review SOP Plans,Plan and Define,Gate 3,√,optional,"Re-check lead times for SOP, verify and update when necessary the timing plan. Set Gate 5 accordingly",Timing Plan,PM,,False,Gate3,Gate 3
NO_ID-Gate4-44,Gate Checklist-更新版,23,Plan and Define-----PM,,Review SOP Plans,Plan and Define,Gate 4,X,required,"Re-check lead times for SOP, verify and update when necessary the timing plan. Set Gate 5 accordingly",Timing Plan,PM,,False,Gate4,Gate 4
NO_ID-Gate5-45,Gate Checklist-更新版,23,Plan and Define-----PM,,Review SOP Plans,Plan and Define,Gate 5,X,required,Update timing plan and Auros Team Board,Timing Plan,PM,,False,Gate5,Gate 5
GPM_GR-118-CKO-46,Gate Checklist-更新版,24,Plan and Define-----PM,GPM_GR-118,Update Program Financials,Plan and Define,CKO,X,required,"Evaluate if there are changes that impact the financials. If yes, run again the Risk Strategist Model (RSM) and compare the actual financials with the required financials.
The Required Financials are the latest approved by BU, this means the ones approved for the Quote or the ones reported in the latest approved AR.
The Actual Financials are the latest re-calculated financials as per the RSM based on actual data or latest program assumptions. Assumptions are valid only if the implementation is already agreed and approved internally and with the customer.
The following is a list of potential root causes to be added on the explanation if financials are below target. Add first the root cause and then the detailed explanation. If the root cause is not in the list, please add it:
- Design changes
- BOM cost increase
- Volume Changes
- SOP Postponed
- Process Issue
- Initial tasks assigned at Gate 0
- Inflationary effects.
- Raw material Index definition.
Check the attachment for further details",RSM / Financial Walk if needed,PM,,False,CKO,CKO
GPM_GR-118-PKO-47,Gate Checklist-更新版,24,Plan and Define-----PM,GPM_GR-118,Update Program Financials,Plan and Define,PKO,X,required,"Evaluate if there are changes that impact the financials. If yes, run again the Risk Strategist Model (RSM) and compare the actual financials with the required financials.
The Required Financials are the latest approved by BU, this means the ones approved for the Quote or the ones reported in the latest approved AR.
The Actual Financials are the latest re-calculated financials as per the RSM based on actual data or latest program assumptions. Assumptions are valid only if the implementation is already agreed and approved internally and with the customer.
The following is a list of potential root causes to be added on the explanation if financials are below target. Add first the root cause and then the detailed explanation. If the root cause is not in the list, please add it:
- Design changes
- BOM cost increase
- Volume Changes
- SOP Postponed
- Process Issue
- Initial tasks assigned at Gate 0
- Inflationary effects.
- Raw material Index definition.
Check the attachment for further details",RSM / Financial Walk if needed,PM,,False,PKO,PKO
GPM_GR-118-Gate1-48,Gate Checklist-更新版,24,Plan and Define-----PM,GPM_GR-118,Update Program Financials,Plan and Define,Gate 1,√,optional,"Evaluate if there are changes that impact the financials. If yes, run again the Risk Strategist Model (RSM) and compare the actual financials with the required financials.
The Required Financials are the latest approved by BU, this means the ones approved for the Quote or the ones reported in the latest approved AR.
The Actual Financials are the latest re-calculated financials as per the RSM based on actual data or latest program assumptions. Assumptions are valid only if the implementation is already agreed and approved internally and with the customer.
The following is a list of potential root causes to be added on the explanation if financials are below target. Add first the root cause and then the detailed explanation. If the root cause is not in the list, please add it:
- Design changes
- BOM cost increase
- Volume Changes
- SOP Postponed
- Process Issue
- Initial tasks assigned at Gate 0
- Inflationary effects.
- Raw material Index definition.
Check the attachment for further details",RSM / Financial Walk if needed,PM,,False,Gate1,Gate 1
GPM_GR-118-Gate2-49,Gate Checklist-更新版,24,Plan and Define-----PM,GPM_GR-118,Update Program Financials,Plan and Define,Gate 2,√,optional,"Evaluate if there are changes that impact the financials. If yes, run again the Risk Strategist Model (RSM) and compare the actual financials with the required financials.
The Required Financials are the latest approved by BU, this means the ones approved for the Quote or the ones reported in the latest approved AR.
The Actual Financials are the latest re-calculated financials as per the RSM based on actual data or latest program assumptions. Assumptions are valid only if the implementation is already agreed and approved internally and with the customer.
The following is a list of potential root causes to be added on the explanation if financials are below target. Add first the root cause and then the detailed explanation. If the root cause is not in the list, please add it:
- Design changes
- BOM cost increase
- Volume Changes
- SOP Postponed
- Process Issue
- Initial tasks assigned at Gate 0
- Inflationary effects.
- Raw material Index definition.
Check the attachment for further details",RSM / Financial Walk if needed,PM,,False,Gate2,Gate 2
GPM_GR-118-Gate3-50,Gate Checklist-更新版,24,Plan and Define-----PM,GPM_GR-118,Update Program Financials,Plan and Define,Gate 3,√,optional,"Evaluate if there are changes that impact the financials. If yes, run again the Risk Strategist Model (RSM) and compare the actual financials with the required financials.
The Required Financials are the latest approved by BU, this means the ones approved for the Quote or the ones reported in the latest approved AR.
The Actual Financials are the latest re-calculated financials as per the RSM based on actual data or latest program assumptions. Assumptions are valid only if the implementation is already agreed and approved internally and with the customer.
The following is a list of potential root causes to be added on the explanation if financials are below target. Add first the root cause and then the detailed explanation. If the root cause is not in the list, please add it:
- Design changes
- BOM cost increase
- Volume Changes
- SOP Postponed
- Process Issue
- Initial tasks assigned at Gate 0
- Inflationary effects.
- Raw material Index definition.
Check the attachment for further details",RSM / Financial Walk if needed,PM,,False,Gate3,Gate 3
GPM_GR-118-Gate4-51,Gate Checklist-更新版,24,Plan and Define-----PM,GPM_GR-118,Update Program Financials,Plan and Define,Gate 4,√,optional,"Evaluate if there are changes that impact the financials. If yes, run again the Risk Strategist Model (RSM) and compare the actual financials with the required financials.
The Required Financials are the latest approved by BU, this means the ones approved for the Quote or the ones reported in the latest approved AR.
The Actual Financials are the latest re-calculated financials as per the RSM based on actual data or latest program assumptions. Assumptions are valid only if the implementation is already agreed and approved internally and with the customer.
The following is a list of potential root causes to be added on the explanation if financials are below target. Add first the root cause and then the detailed explanation. If the root cause is not in the list, please add it:
- Design changes
- BOM cost increase
- Volume Changes
- SOP Postponed
- Process Issue
- Initial tasks assigned at Gate 0
- Inflationary effects.
- Raw material Index definition.
Check the attachment for further details",RSM / Financial Walk if needed,PM,,False,Gate4,Gate 4
GPM_GR-118-Gate5-52,Gate Checklist-更新版,24,Plan and Define-----PM,GPM_GR-118,Update Program Financials,Plan and Define,Gate 5,√,optional,"Evaluate if there are changes that impact the financials. If yes, run again the Risk Strategist Model (RSM) and compare the actual financials with the required financials.
The Required Financials are the latest approved by BU, this means the ones approved for the Quote or the ones reported in the latest approved AR.
The Actual Financials are the latest re-calculated financials as per the RSM based on actual data or latest program assumptions. Assumptions are valid only if the implementation is already agreed and approved internally and with the customer.
The following is a list of potential root causes to be added on the explanation if financials are below target. Add first the root cause and then the detailed explanation. If the root cause is not in the list, please add it:
- Design changes
- BOM cost increase
- Volume Changes
- SOP Postponed
- Process Issue
- Initial tasks assigned at Gate 0
- Inflationary effects.
- Raw material Index definition.
Check the attachment for further details",RSM / Financial Walk if needed,PM,,False,Gate5,Gate 5
GPM_GR-118-Gate6-53,Gate Checklist-更新版,24,Plan and Define-----PM,GPM_GR-118,Update Program Financials,Plan and Define,Gate 6,√,optional,"Evaluate if there are changes that impact the financials. If yes, run again the Risk Strategist Model (RSM) and compare the actual financials with the required financials.
The Required Financials are the latest approved by BU, this means the ones approved for the Quote or the ones reported in the latest approved AR.
The Actual Financials are the latest re-calculated financials as per the RSM based on actual data or latest program assumptions. Assumptions are valid only if the implementation is already agreed and approved internally and with the customer.
The following is a list of potential root causes to be added on the explanation if financials are below target. Add first the root cause and then the detailed explanation. If the root cause is not in the list, please add it:
- Design changes
- BOM cost increase
- Volume Changes
- SOP Postponed
- Process Issue
- Initial tasks assigned at Gate 0
- Inflationary effects.
- Raw material Index definition.
Check the attachment for further details",RSM / Financial Walk if needed,PM,,False,Gate6,Gate 6
GPM_GR-119-PKO-54,Gate Checklist-更新版,25,Plan and Define-----PM,GPM_GR-119,"Generate Lessons Learned and apply to the program
Risk Assessment Updated - Previous and New Risks",Plan and Define,PKO,X,required,"Schedule a Lessons Learned session and Risk Management with the Cross Functional Team to generate Lessons Learned and document the output in Auros. Include a summary of the Lessons Learned created in the comments section.
Review the actions defined when LL from other programs were reviewed and when LL were created and ensure that those actions are incorporated in this program
Request all team members to investigate Lessons Learned that may be applicable to the program and have a session with the team so everybody can share, review, understand, and decide which action must be taken in the program. Attach the output of the session in this K-PAC/question and include a summary in the Comments section",MP-PM-007 / LL in Auros,PM,,False,PKO,PKO
GPM_GR-119-Gate1-55,Gate Checklist-更新版,25,Plan and Define-----PM,GPM_GR-119,"Generate Lessons Learned and apply to the program
Risk Assessment Updated - Previous and New Risks",Plan and Define,Gate 1,√,optional,"Schedule a Lessons Learned session and Risk Management with the Cross Functional Team to generate Lessons Learned and document the output in Auros. Include a summary of the Lessons Learned created in the comments section.
Review the actions defined when LL from other programs were reviewed and when LL were created and ensure that those actions are incorporated in this program
Request all team members to investigate Lessons Learned that may be applicable to the program and have a session with the team so everybody can share, review, understand, and decide which action must be taken in the program. Attach the output of the session in this K-PAC/question and include a summary in the Comments section",MP-PM-007 / LL in Auros,PM,,False,Gate1,Gate 1
GPM_GR-119-Gate2-56,Gate Checklist-更新版,25,Plan and Define-----PM,GPM_GR-119,"Generate Lessons Learned and apply to the program
Risk Assessment Updated - Previous and New Risks",Plan and Define,Gate 2,√,optional,"Schedule a Lessons Learned session and Risk Management with the Cross Functional Team to generate Lessons Learned and document the output in Auros. Include a summary of the Lessons Learned created in the comments section.
Review the actions defined when LL from other programs were reviewed and when LL were created and ensure that those actions are incorporated in this program
Request all team members to investigate Lessons Learned that may be applicable to the program and have a session with the team so everybody can share, review, understand, and decide which action must be taken in the program. Attach the output of the session in this K-PAC/question and include a summary in the Comments section",MP-PM-007 / LL in Auros,PM,,False,Gate2,Gate 2
GPM_GR-119-Gate3-57,Gate Checklist-更新版,25,Plan and Define-----PM,GPM_GR-119,"Generate Lessons Learned and apply to the program
Risk Assessment Updated - Previous and New Risks",Plan and Define,Gate 3,√,optional,"Schedule a Lessons Learned session and Risk Management with the Cross Functional Team to generate Lessons Learned and document the output in Auros. Include a summary of the Lessons Learned created in the comments section.
Review the actions defined when LL from other programs were reviewed and when LL were created and ensure that those actions are incorporated in this program
Request all team members to investigate Lessons Learned that may be applicable to the program and have a session with the team so everybody can share, review, understand, and decide which action must be taken in the program. Attach the output of the session in this K-PAC/question and include a summary in the Comments section",MP-PM-007 / LL in Auros,PM,,False,Gate3,Gate 3
GPM_GR-119-Gate4-58,Gate Checklist-更新版,25,Plan and Define-----PM,GPM_GR-119,"Generate Lessons Learned and apply to the program
Risk Assessment Updated - Previous and New Risks",Plan and Define,Gate 4,√,optional,"Schedule a Lessons Learned session and Risk Management with the Cross Functional Team to generate Lessons Learned and document the output in Auros. Include a summary of the Lessons Learned created in the comments section.
Review the actions defined when LL from other programs were reviewed and when LL were created and ensure that those actions are incorporated in this program
Request all team members to investigate Lessons Learned that may be applicable to the program and have a session with the team so everybody can share, review, understand, and decide which action must be taken in the program. Attach the output of the session in this K-PAC/question and include a summary in the Comments section",MP-PM-007 / LL in Auros,PM,,False,Gate4,Gate 4
GPM_GR-119-Gate5-59,Gate Checklist-更新版,25,Plan and Define-----PM,GPM_GR-119,"Generate Lessons Learned and apply to the program
Risk Assessment Updated - Previous and New Risks",Plan and Define,Gate 5,√,optional,"Schedule a Lessons Learned session and Risk Management with the Cross Functional Team to generate Lessons Learned and document the output in Auros. Include a summary of the Lessons Learned created in the comments section.
Review the actions defined when LL from other programs were reviewed and when LL were created and ensure that those actions are incorporated in this program
Request all team members to investigate Lessons Learned that may be applicable to the program and have a session with the team so everybody can share, review, understand, and decide which action must be taken in the program. Attach the output of the session in this K-PAC/question and include a summary in the Comments section",MP-PM-007 / LL in Auros,PM,,False,Gate5,Gate 5
GPM_GR-119-Gate6-60,Gate Checklist-更新版,25,Plan and Define-----PM,GPM_GR-119,"Generate Lessons Learned and apply to the program
Risk Assessment Updated - Previous and New Risks",Plan and Define,Gate 6,√,optional,"Schedule a Lessons Learned session and Risk Management with the Cross Functional Team to generate Lessons Learned and document the output in Auros. Include a summary of the Lessons Learned created in the comments section.
Review the actions defined when LL from other programs were reviewed and when LL were created and ensure that those actions are incorporated in this program
Request all team members to investigate Lessons Learned that may be applicable to the program and have a session with the team so everybody can share, review, understand, and decide which action must be taken in the program. Attach the output of the session in this K-PAC/question and include a summary in the Comments section",MP-PM-007 / LL in Auros,PM,,False,Gate6,Gate 6
GPM_GR-127-Gate2-61,Gate Checklist-更新版,26,Plan and Define-----PM,GPM_GR-127,Tooling Rebill with customer,Plan and Define,Gate 2,X,required,Customer proof of tooling plan understood and established with RASIC. Understand what are the specific customer  requirements and if needed include those requirements in the PO's and APQP kickoff meeting with suppliers. Define who is Responsible within the team to ensure the tooling requirements are met BEFORE PPAP,,"Sales,PM",,False,Gate2,Gate 2
GPM_GR-127-Gate4-62,Gate Checklist-更新版,26,Plan and Define-----PM,GPM_GR-127,Tooling Rebill with customer,Plan and Define,Gate 4,√,optional,Tool Rebill Submission to customer is planned to be done on time. All requirements from suppliers are already covered.,,"Sales,PM",,False,Gate4,Gate 4
GPM_GR-127-Gate5-63,Gate Checklist-更新版,26,Plan and Define-----PM,GPM_GR-127,Tooling Rebill with customer,Plan and Define,Gate 5,√,optional,Tool Rebill already submitted to customer or planned to be submitted on time,,"Sales,PM",,False,Gate5,Gate 5
GPM_GR-127-Gate6-64,Gate Checklist-更新版,26,Plan and Define-----PM,GPM_GR-127,Tooling Rebill with customer,Plan and Define,Gate 6,√,optional,Tooling rebill money received,,"Sales,PM",,False,Gate6,Gate 6
GPM_GR-128-Gate6-65,Gate Checklist-更新版,27,Plan and Define-----PM,GPM_GR-128,Program Closure,Plan and Define,Gate 6,X,required,"Close the program following the guidelines explained in MP-PM-003 and completing the information in the ""Programs to Close"" file that is available in PM Share Point",MP-PM-003 / Programs to Close file in PM SharePoint,PM,,False,Gate6,Gate 6
GPM_GR-32-CKO-66,Gate Checklist-更新版,29,Process Design and Development-Jim Ji,GPM_GR-32,Review of Gate 0 Quote Assumptions & Product NUD's,Process Design and Development,CKO,X,required,Check status of the MSOk and the Manufacturing Strategy as reported at the Gate 0 and at the current state,MP-PM-005,Mfg Engineering,,False,CKO,CKO
GPM_GR-32-PKO-67,Gate Checklist-更新版,29,Process Design and Development-Jim Ji,GPM_GR-32,Review of Gate 0 Quote Assumptions & Product NUD's,Process Design and Development,PKO,X,required,Check status of the MSOk and the Manufacturing Strategy as reported at the Gate 0 and at the current state,MP-PM-005,Mfg Engineering,,False,PKO,PKO
GPM_GR-33-PKO-68,Gate Checklist-更新版,30,Process Design and Development-Jim Ji,GPM_GR-33,"For New Equipment, Establish Target Supplier List",Process Design and Development,PKO,X,required,"Alignment with plant M.Eng, AME and Supply Chain on supplier list, target prices and equipment kick off dates -present capital equipment strategy at pre-RFQ Sourcing Board",MP-M-011,"Mfg Engineering,SCM",,False,PKO,PKO
GPM_GR-33-Gate1-69,Gate Checklist-更新版,30,Process Design and Development-Jim Ji,GPM_GR-33,"For New Equipment, Establish Target Supplier List",Process Design and Development,Gate 1,X,required,"Alignment with plant M.Eng, AME and Supply Chain on supplier list, target prices and equipment kick off dates -present capital equipment strategy at pre-RFQ Sourcing Board",MP-M-011,"Mfg Engineering,SCM",,False,Gate1,Gate 1
GPM_GR-34-CKO-70,Gate Checklist-更新版,31,Process Design and Development-Jim Ji,GPM_GR-34,Develop Mfg NUD List & Action Plans,Process Design and Development,CKO,X,required,Check if the document has been developed – If there are NUD’s,,Mfg Engineering,,False,CKO,CKO
GPM_GR-34-PKO-71,Gate Checklist-更新版,31,Process Design and Development-Jim Ji,GPM_GR-34,Develop Mfg NUD List & Action Plans,Process Design and Development,PKO,X,required,Check if the document has been developed – If there are NUD’s,,Mfg Engineering,,False,PKO,PKO
GPM_GR-36-PKO-72,Gate Checklist-更新版,32,Process Design and Development-Jim Ji,GPM_GR-36,Preliminary Material Handling Plan & Cost Estimate,Process Design and Development,PKO,X,required,"Check if internal and external special handling devices have been included in the cost estimation. Responsible function changes by plant, identify the specific owner in Champion column",,"Mfg Engineering,Logistic",,False,PKO,PKO
GPM_GR-36-Gate1-73,Gate Checklist-更新版,32,Process Design and Development-Jim Ji,GPM_GR-36,Preliminary Material Handling Plan & Cost Estimate,Process Design and Development,Gate 1,X,required,"Check if internal and external special handling devices have been included in the cost estimation. Responsible function changes by plant, identify the specific owner in Champion column",,"Mfg Engineering,Logistic",,False,Gate1,Gate 1
GPM_GR-37-Gate0-74,Gate Checklist-更新版,33,Process Design and Development-Jim Ji,GPM_GR-37,Estimated Facility Cost Estimate,Process Design and Development,Gate 0,X,required,Check if any building or plant auxiliaries equipment have been considered,,Mfg Engineering,,False,CKO,Gate 0
