taskId,sourceSheet,sourceRow,section,kpacId,title,function,stage,marker,requiredType,taskDescription,documentOrEvidence,responsible,remarks,expandedByAllGatesRule
GPM_GR-22-Gate3-133,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 3,X,required,Release of R1 DWG (Proto): check with ENG if there are any pending from ESO1,MP-E-GEN002,Product Eng,,True
GPM_GR-22-Gate4-134,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 4,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-22-Gate5-135,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 5,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-22-Gate6-136,Gate Checklist-更新版,62,Product Design and Development - AE,GPM_GR-22,ESO 1 - Release of R1 DWG (Proto),Product Design and Development,Gate 6,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-24-Gate0-137,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 0,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-24-CKO-138,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,CKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-24-PKO-139,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,PKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-24-Gate1-140,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 1,X,required,Verify status of R2 drawings,MP-E-GEN002,Product Eng,,True
GPM_GR-24-Gate2-141,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 2,X,required,Verify that R2 (where applicable) have been released,MP-E-GEN002,Product Eng,,True
GPM_GR-24-Gate3-142,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 3,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-24-Gate4-143,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 4,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-24-Gate5-144,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 5,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-24-Gate6-145,Gate Checklist-更新版,63,Product Design and Development - AE,GPM_GR-24,ESO 2 - Release of R2 DWG (Production Intent),Product Design and Development,Gate 6,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-25-Gate0-146,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 0,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-25-CKO-147,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,CKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-25-PKO-148,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,PKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-25-Gate1-149,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 1,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-25-Gate2-150,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 2,X,required,Verify the status of R3 drawings that are necessary to kick off suppliers and internal processes – highlight and track any deviation and ESO 3 rating and plan if required.,MP-E-GEN002,Product Eng,,True
GPM_GR-25-Gate3-151,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 3,X,required,"Verify that R3 DWG are available for all OTS components, verify ESO 3 execution and rating – Discuss and evaluate any deviation",MP-E-GEN002,Product Eng,,True
GPM_GR-25-Gate4-152,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 4,X,required,Check with ENG if there are any pending from ESO3,MP-E-GEN002,Product Eng,,True
GPM_GR-25-Gate5-153,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 5,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-25-Gate6-154,Gate Checklist-更新版,64,Product Design and Development - AE,GPM_GR-25,ESO 3 - Release of R3 DWG (Mass Production),Product Design and Development,Gate 6,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-26-Gate0-155,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 0,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-26-CKO-156,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,CKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-26-PKO-157,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,PKO,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-26-Gate1-158,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 1,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-26-Gate2-159,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 2,X,required,Check with ENG if they are expecting issue to release ESO4 in time for PPAP submission due date,MP-E-GEN002,Product Eng,,True
GPM_GR-26-Gate3-160,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 3,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-26-Gate4-161,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 4,X,required,Verify execution and rating of the ESO4. It is mandatory to have an ESO4 done before Gate 4,MP-E-GEN002,Product Eng,,True
GPM_GR-26-Gate5-162,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 5,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
GPM_GR-26-Gate6-163,Gate Checklist-更新版,65,Product Design and Development - AE,GPM_GR-26,ESO 4 - Engineering Sign Off for PPAP submission,Product Design and Development,Gate 6,X,required,"For all gates, create a hashtag link to the corresponding ESO Assessment",MP-E-GEN002,Product Eng,,True
